start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0 days 00:00:00.780000,0 days 00:00:00.800000,0.32056636,2.4397,2.2283394,-0.027822182,0.022868337,0.14252594,-10.502913,8.207371,43.842846,21.71839,0.0,0.0,0.0,0.0,0.0,0.0,1205.6523,428.79214,-201.0,2227.0967,1019.5358,-201.0,3058.9822,934.10284,-201.0
0 days 00:00:00.790000,0 days 00:00:00.810000,0.22204416,-2.706021,9.658335,-0.041834917,0.018989176,0.091843545,-7.0287385,7.3919964,34.8791,21.114672,0.0,0.0,0.0,0.0,0.0,0.0,1198.474,602.4096,-201.0,2149.1155,1338.9443,-201.0,2872.4773,1084.682,-201.0
0 days 00:00:00.800000,0 days 00:00:00.820000,0.12295508,-15.407158,25.43072,-0.06245644,0.018202337,0.06451064,0.48559523,12.981387,29.987322,20.279879,0.0,0.0,0.0,0.0,0.0,0.0,1161.6328,1055.1929,-201.0,2037.284,1376.874,-201.0,2879.7542,1001.19073,-201.0
0 days 00:00:00.810000,0 days 00:00:00.830000,0.06357347,-16.94105,27.868591,-0.061924737,0.027387911,0.037129924,-0.9998053,10.551048,24.514364,21.097502,0.0,0.0,0.0,0.0,0.0,0.0,1141.0162,1084.6487,-201.0,2040.1522,1414.4847,-201.0,2900.001,1035.1931,-201.0
0 days 00:00:00.820000,0 days 00:00:00.840000,0.11165116,-14.1246,25.394743,-0.058565844,0.025931085,0.03274167,3.5655677,4.2476,21.0123,23.025515,0.0,0.0,0.0,0.0,0.0,0.0,1118.7933,1294.7638,-201.0,2128.9172,1249.7412,-201.0,3045.2275,976.8387,-201.0
0 days 00:00:00.830000,0 days 00:00:00.850000,0.38663673,-4.3910923,13.183141,-0.027986562,0.0227826,0.17173076,4.082022,-3.9437573,19.457888,26.104248,0.0,0.0,0.0,0.0,0.0,0.0,1188.1178,993.0628,-201.0,2072.8264,1778.3024,-201.0,2895.6113,981.7664,-201.0
0 days 00:00:00.840000,0 days 00:00:00.860000,0.49610344,0.37232518,5.9124684,-0.006985467,0.008874689,0.29024932,7.241993,-8.926792,21.36283,22.846525,0.0,0.0,0.0,0.0,0.0,0.0,867.67035,1209.8657,-201.0,1719.4354,1631.7739,-201.0,2568.4983,919.9982,-201.0
0 days 00:00:00.850000,0 days 00:00:00.870000,0.6752098,-2.5924804,7.8771176,0.02419477,-0.009636003,0.46634758,12.500737,-8.729181,17.18791,6.8414497,0.0,0.0,0.0,0.0,0.0,0.0,630.08154,1167.5526,-133.2251,1454.0511,1482.7284,-133.45598,2397.7605,830.40924,-137.05391
0 days 00:00:00.860000,0 days 00:00:00.880000,0.6421585,-6.0531516,14.385304,0.03842393,-0.02170644,0.4465829,16.68071,-7.831303,8.467002,-5.0919414,30.883724,0.0,0.0,3.0994234,-5.3119,11.733527,327.29822,1255.6913,-64.96142,1381.7811,739.3317,-64.94776,2450.8792,774.565,-72.78377
0 days 00:00:00.870000,0 days 00:00:00.890000,0.8722213,-11.743129,25.646948,0.050513655,-0.028026432,0.7087698,25.91147,-6.8775783,-9.352341,-17.141943,31.037079,0.0,0.0,2.1868315,-3.9680264,11.727656,341.0054,1228.8976,2.5536034,1395.0996,850.91925,2.6077917,2540.9194,862.1126,-9.174054
0 days 00:00:00.880000,0 days 00:00:00.900000,1.0938193,-11.002074,27.809204,0.059759554,-0.020160165,0.7637724,27.016928,-4.8367796,-18.94967,-16.58509,31.426514,0.0,0.0,1.5681139,-1.973492,12.066077,270.25394,1764.4614,2.668047,1373.5155,927.5892,0.802923,2584.4138,790.43964,-10.211178
0 days 00:00:00.890000,0 days 00:00:00.910000,1.417396,-9.478709,26.506086,0.055129986,-0.017176146,0.99975044,27.58816,-6.0011554,-21.808418,-18.038397,31.828833,0.0,0.0,1.7439704,-1.0747385,13.000461,300.91574,1782.8892,0.0,1347.4127,1008.61786,-1.9509414,2576.0293,784.5214,-12.610008
0 days 00:00:00.900000,0 days 00:00:00.920000,1.607409,-5.978975,20.859842,0.04997657,-0.011915092,0.8843617,25.390753,-5.456699,-19.843634,-17.881367,32.160217,0.0,1.313855,2.8323154,-0.77367824,15.6464615,308.85483,1792.7969,-1.1921036,1316.1245,1024.2328,-4.282622,2547.764,632.8657,-16.364996
